epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1064.34,1.11497,1.13278,0.13943,0.64783,0.55179,0.54844,0.21044,0.89267,0.47137,0.04816,0.000555304,0.000555304,0.000555304
2,2113.02,0.93094,0.49096,0.04887,0.31158,0.1251,0.10369,0.03875,2.50239,0.34186,0.65139,0.00109997,0.00109997,0.00109997
3,3157.04,1.03568,0.50619,0.07705,0.48158,0.35339,0.33385,0.11198,1.27481,0.41418,0.1884,0.00163364,0.00163364,0.00163364
4,4198.83,1.08422,0.48697,0.08565,0.55752,0.40933,0.41789,0.15532,1.01615,0.47328,0.09657,0.00161749,0.00161749,0.00161749
5,5240.9,0.98577,0.48889,0.05596,0.675,0.58187,0.61133,0.24467,0.82719,0.49524,0.04788,0.00160099,0.00160099,0.00160099
6,6283.34,0.93648,0.47683,0.04626,0.66999,0.58788,0.60247,0.23296,0.86021,0.46767,0.04774,0.00158448,0.00158448,0.00158448
7,7324.7,0.92981,0.48774,0.04498,0.62836,0.56056,0.55249,0.21028,0.87865,0.46457,0.04778,0.00156798,0.00156798,0.00156798
8,8366.16,0.92429,0.48446,0.04953,0.67282,0.53866,0.57873,0.22386,0.85577,0.50765,0.0554,0.00155148,0.00155148,0.00155148
9,9407.68,0.90336,0.47578,0.04347,0.63775,0.57823,0.578,0.22446,0.84431,0.51278,0.04489,0.00153497,0.00153497,0.00153497
10,10449,0.90042,0.46457,0.04035,0.64085,0.55826,0.57034,0.21101,0.84428,0.49844,0.04271,0.00151847,0.00151847,0.00151847
11,11491,0.88642,0.48652,0.04157,0.68364,0.59715,0.61231,0.24541,0.78291,0.52043,0.04502,0.00150197,0.00150197,0.00150197
12,12532.9,0.86568,0.48064,0.03878,0.67968,0.56774,0.59174,0.22544,0.83363,0.49248,0.03884,0.00148546,0.00148546,0.00148546
