epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1398.09,1.89901,3.88272,1.27332,1.01174,0.58033,0.38547,0.50677,0.2094,0.17574,0.09954,0.11218,0.04286,2.15892,4.33113,1.45683,1.06533,0.00119393,0.00119393,0.00119393
32,1440.95,1.9027,3.9033,1.27335,0.99655,0.71026,0.11786,0.41034,0.16693,0.22115,0.02627,0.11506,0.0674,2.42685,4.77411,2.34729,1.07829,0.00117485,0.00117485,0.00117485
33,1484.49,1.88425,3.82536,1.23794,1.00539,0.60193,0.39596,0.49518,0.2052,0.20111,0.11685,0.1254,0.04301,2.22897,4.19311,1.44078,1.09524,0.00115535,0.00115535,0.00115535
34,1527.81,1.91852,3.94352,1.24103,0.9915,0.52687,0.34643,0.44044,0.19167,0.2355,0.10449,0.13952,0.05448,2.20361,4.47288,1.45092,1.08342,0.00113546,0.00113546,0.00113546
35,1571.23,1.89853,3.87507,1.24864,0.99589,0.62941,0.26093,0.43573,0.17919,0.32188,0.0738,0.1766,0.07942,2.19443,4.65817,1.85177,1.07954,0.0011152,0.0011152,0.0011152
36,1614.74,1.86962,3.82608,1.23614,1.00996,0.61239,0.41348,0.53376,0.22629,0.16938,0.09653,0.11148,0.0472,2.0978,4.54937,1.39774,1.0569,0.00109459,0.00109459,0.00109459
37,1658.02,1.84321,3.80725,1.22424,1.00213,0.60307,0.4223,0.53135,0.21994,0.19602,0.11097,0.12484,0.04527,2.14132,4.45315,1.42338,1.04631,0.00107364,0.00107364,0.00107364
38,1701.54,1.85724,3.87849,1.20265,0.99823,0.5799,0.42698,0.51461,0.20541,0.21398,0.11157,0.13814,0.05383,2.13783,4.57812,1.43766,1.07531,0.00105238,0.00105238,0.00105238
39,1744.94,1.85935,3.95267,1.19344,0.98009,0.59759,0.50011,0.5731,0.23703,0.16526,0.1228,0.11953,0.04517,2.08859,4.59431,1.34112,1.0945,0.00103083,0.00103083,0.00103083
40,1788.37,1.81465,3.83984,1.17271,0.98492,0.66168,0.4459,0.58438,0.23986,0.22135,0.10542,0.13501,0.05603,2.03239,4.62368,1.29494,1.03008,0.00100901,0.00100901,0.00100901
