epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,43704.6,0.79491,0.45924,0.03418,0.68726,0.64195,0.66151,0.27663,0.74065,0.49111,0.04226,0.000990365,0.000990365,0.000990365
43,44737.9,0.78791,0.45139,0.03276,0.71535,0.62371,0.66816,0.27982,0.72155,0.52445,0.03859,0.000973861,0.000973861,0.000973861
44,45771.6,0.78782,0.4573,0.03214,0.72382,0.6221,0.66998,0.28064,0.73666,0.50404,0.04146,0.000957358,0.000957358,0.000957358
45,46805.2,0.81943,0.44108,0.03177,0.70452,0.64671,0.67237,0.28413,0.71795,0.50778,0.03798,0.000940855,0.000940855,0.000940855
46,47838.9,0.77986,0.46464,0.03172,0.69472,0.62735,0.65501,0.26829,0.73559,0.51272,0.04334,0.000924352,0.000924352,0.000924352
47,48872.4,0.78085,0.45372,0.03189,0.68616,0.64801,0.65834,0.27531,0.71886,0.51467,0.04051,0.000907848,0.000907848,0.000907848
48,49906,0.78801,0.46409,0.03306,0.66697,0.65839,0.66203,0.26702,0.72917,0.51698,0.04076,0.000891345,0.000891345,0.000891345
49,50939,0.77592,0.46093,0.03147,0.70006,0.61721,0.65589,0.26861,0.75408,0.5044,0.04692,0.000874842,0.000874842,0.000874842
50,51971.9,0.78144,0.47472,0.03285,0.72459,0.63012,0.65759,0.26027,0.75002,0.49016,0.04194,0.000858338,0.000858338,0.000858338
51,53005.3,0.77496,0.46339,0.03128,0.69699,0.63815,0.64359,0.26508,0.73934,0.50309,0.04123,0.000841835,0.000841835,0.000841835
52,54038.5,0.78774,0.46082,0.03282,0.7125,0.62846,0.64042,0.26052,0.73886,0.4977,0.03949,0.000825332,0.000825332,0.000825332
53,55072,0.78954,0.45736,0.03374,0.68446,0.61188,0.63739,0.26232,0.72882,0.5157,0.04083,0.000808828,0.000808828,0.000808828
54,56105.3,0.78711,0.45841,0.03298,0.74294,0.60694,0.65286,0.26955,0.80242,0.49597,0.07382,0.000792325,0.000792325,0.000792325
55,57137.8,0.7739,0.45722,0.03242,0.70427,0.60077,0.64084,0.26742,0.73714,0.51224,0.04414,0.000775822,0.000775822,0.000775822
56,58170.4,0.76324,0.46119,0.03211,0.6898,0.65169,0.65648,0.27129,0.72043,0.51899,0.04005,0.000759318,0.000759318,0.000759318
57,59203.8,0.76225,0.45476,0.02998,0.68907,0.64959,0.63037,0.26262,0.7276,0.50836,0.04092,0.000742815,0.000742815,0.000742815
