epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,23883.7,0.66024,0.47751,0.0254,0.65596,0.56008,0.57967,0.23392,0.74094,0.54275,0.03926,0.000990365,0.000990365,0.000990365
43,24450.9,0.63745,0.4824,0.02565,0.61027,0.55387,0.54866,0.22151,0.75476,0.53601,0.03949,0.000973861,0.000973861,0.000973861
44,25021.1,0.64913,0.47415,0.02471,0.61293,0.5872,0.58828,0.24909,0.73639,0.54203,0.03851,0.000957358,0.000957358,0.000957358
45,25588.6,0.63131,0.46862,0.02521,0.64075,0.52097,0.55453,0.23715,0.72727,0.54641,0.03725,0.000940855,0.000940855,0.000940855
46,26155.9,0.62998,0.47911,0.0245,0.63788,0.55961,0.57356,0.24028,0.73735,0.55,0.04083,0.000924352,0.000924352,0.000924352
47,26721.8,0.64215,0.48381,0.02728,0.66809,0.54243,0.55608,0.22859,0.75326,0.55326,0.04298,0.000907848,0.000907848,0.000907848
48,27287.4,0.61911,0.47621,0.02499,0.61063,0.59905,0.59157,0.2526,0.73018,0.54597,0.04027,0.000891345,0.000891345,0.000891345
49,27853.2,0.62765,0.46685,0.02536,0.63734,0.60815,0.6183,0.26089,0.72909,0.53758,0.03839,0.000874842,0.000874842,0.000874842
50,28419,0.61109,0.46365,0.02296,0.58378,0.65636,0.61811,0.256,0.72929,0.5291,0.04001,0.000858338,0.000858338,0.000858338
51,28984.4,0.62245,0.47498,0.02377,0.6617,0.535,0.57911,0.25365,0.7207,0.55188,0.03627,0.000841835,0.000841835,0.000841835
52,29549.8,0.62529,0.46974,0.02474,0.658,0.58514,0.60336,0.25266,0.70966,0.53632,0.03479,0.000825332,0.000825332,0.000825332
53,30115.8,0.60496,0.46982,0.02303,0.55969,0.5916,0.55438,0.23027,0.74838,0.53908,0.03991,0.000808828,0.000808828,0.000808828
54,30681.9,0.6214,0.46858,0.02373,0.58127,0.56911,0.55359,0.23546,0.75251,0.55994,0.04646,0.000792325,0.000792325,0.000792325
55,31247.8,0.59586,0.45794,0.02312,0.62516,0.54011,0.55818,0.2247,0.7346,0.5661,0.03972,0.000775822,0.000775822,0.000775822
56,31813.7,0.59414,0.46161,0.02282,0.67906,0.5337,0.57981,0.23663,0.72749,0.5645,0.03696,0.000759318,0.000759318,0.000759318
57,32379.4,0.5819,0.45547,0.022,0.68408,0.52626,0.57254,0.23909,0.73401,0.5572,0.04179,0.000742815,0.000742815,0.000742815
58,32945.3,0.58085,0.46347,0.0216,0.6855,0.52096,0.59378,0.25598,0.71651,0.55027,0.03676,0.000726312,0.000726312,0.000726312
59,33507.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000709809,0.000709809,0.000709809
60,34056.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000693305,0.000693305,0.000693305
61,34605.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000676802,0.000676802,0.000676802
62,35155,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000660299,0.000660299,0.000660299
63,35704.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000643795,0.000643795,0.000643795
64,36253.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000627292,0.000627292,0.000627292
65,36803.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000610789,0.000610789,0.000610789
66,37352.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000594286,0.000594286,0.000594286
