epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.231,2.47188,4.82695,6.8754,1.10016,0,0,0,0,0,0,0,0,2.91953,15.6381,5.88715,1.17402,0.0807191,0.000293617,0.000293617
2,136.565,2.28709,4.11119,2.00324,1.05829,0,0,0,0,0,0,0,0,2.54407,13.1476,4.50752,1.08721,0.061019,0.000593472,0.000593472
3,170.532,2.30466,4.0937,1.89484,1.0922,0,0,0,0,0,0,0,0,2.61828,25.9621,17.6762,1.133,0.0413183,0.000892744,0.000892744
4,215.935,2.29583,4.08224,1.86208,1.07693,0.41498,0.20551,0.28686,0.11453,0.17234,0.04098,0.0912,0.02323,2.34784,6.18908,2.49428,1.06057,0.0216165,0.00119099,0.00119099
5,254.228,2.31381,4.01521,1.81529,1.09703,0.54552,0.25812,0.38973,0.13826,0.15821,0.03616,0.08559,0.0437,2.50005,5.09175,2.17407,1.09253,0.00191332,0.00148779,0.00148779
6,291.337,2.29044,4.0567,1.80369,1.08416,0.45675,0.29402,0.37019,0.14691,0.12745,0.06558,0.06847,0.02404,2.21111,4.6728,1.93932,1.09131,0.00149086,0.00149086,0.00149086
7,347.79,2.25282,4.03282,1.74818,1.07899,0.54865,0.07915,0.31075,0.14357,0.22581,0.03088,0.12506,0.05905,2.8837,4.59287,2.87153,1.19898,0.00148685,0.00148685,0.00148685
8,383.987,2.24059,4.0204,1.70116,1.07175,0.63205,0.25177,0.39478,0.15578,0.11387,0.02179,0.05654,0.01218,2.32488,5.86376,2.84096,1.09226,0.00148212,0.00148212,0.00148212
9,419.838,2.20157,4.00354,1.69435,1.07576,0.62532,0.05595,0.336,0.17564,0.16688,0.02828,0.09634,0.02758,2.51108,4.77847,3.70206,1.1247,0.00147667,0.00147667,0.00147667
10,472.776,2.17536,3.99193,1.63333,1.05483,0.66517,0.25177,0.46457,0.1702,0.17124,0.03256,0.09038,0.03823,2.22402,4.89289,1.68948,1.06293,0.00147052,0.00147052,0.00147052
11,509.946,2.14637,3.97399,1.59166,1.05899,0.38572,0.30805,0.35121,0.12662,0.16319,0.0871,0.09696,0.04292,2.22863,4.48455,2.0024,1.06004,0.00146366,0.00146366,0.00146366
12,546.455,2.13402,3.94302,1.5758,1.04825,0.38938,0.34075,0.37322,0.13823,0.14635,0.08163,0.07915,0.02837,2.23276,4.5134,3.11651,1.04971,0.0014561,0.0014561,0.0014561
