epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1353.4,1.93512,3.89667,1.29751,1.01058,0.82326,0.31267,0.56754,0.25034,0.3066,0.08403,0.17082,0.03908,2.04532,4.42746,1.4529,1.03451,0.00121258,0.00121258,0.00121258
31,1388.23,1.92054,3.89539,1.3048,1.01456,0.65778,0.32911,0.50523,0.21804,0.17386,0.05569,0.10282,0.04024,2.11923,4.52248,1.43847,1.06091,0.00119393,0.00119393,0.00119393
32,1446.23,1.91461,3.90701,1.29636,0.99892,0.52152,0.35124,0.43097,0.18579,0.18134,0.10843,0.11553,0.03091,2.1496,4.4913,1.55871,1.05282,0.00117485,0.00117485,0.00117485
33,1483.92,1.89726,3.83237,1.24347,1.01445,0.71987,0.36434,0.54662,0.23696,0.27023,0.10128,0.16139,0.05141,2.13289,4.13628,1.3448,1.05871,0.00115535,0.00115535,0.00115535
34,1523.76,1.92739,3.94263,1.2561,0.99509,0.63666,0.3493,0.49629,0.22773,0.16711,0.08724,0.10548,0.02782,2.05671,4.29094,1.59267,1.03983,0.00113546,0.00113546,0.00113546
35,1576.33,1.90579,3.89397,1.27225,0.9983,0.68377,0.23685,0.46369,0.19549,0.23797,0.06812,0.13487,0.04868,2.1908,4.4148,1.81331,1.04582,0.0011152,0.0011152,0.0011152
36,1615.85,1.88422,3.84323,1.26559,1.01088,0.57721,0.3987,0.49946,0.19305,0.09804,0.05776,0.05508,0.02045,2.16781,4.71104,1.50963,1.08198,0.00109459,0.00109459,0.00109459
37,1654.73,1.87449,3.82498,1.27315,1.00697,0.53699,0.33553,0.43204,0.18338,0.21871,0.13363,0.13976,0.05219,2.17344,4.23904,1.53349,1.06371,0.00107364,0.00107364,0.00107364
38,1709.06,1.86299,3.9012,1.2238,0.99644,0.50354,0.36253,0.43153,0.18122,0.22871,0.14339,0.14906,0.04454,2.15227,4.32867,1.63112,1.05155,0.00105238,0.00105238,0.00105238
39,1744.22,1.87796,3.96243,1.23062,0.97734,0.6552,0.42631,0.56365,0.24413,0.16942,0.073,0.10497,0.03739,2.0122,4.36353,1.40938,1.05244,0.00103083,0.00103083,0.00103083
40,1784,1.85304,3.848,1.20386,0.99204,0.66681,0.38272,0.54579,0.23492,0.18318,0.08697,0.10525,0.04046,2.01478,4.51478,1.3509,1.03796,0.00100901,0.00100901,0.00100901
41,1838.9,1.87086,3.93297,1.20836,0.98832,0.73409,0.39883,0.5796,0.24762,0.2343,0.11217,0.14715,0.04519,1.96367,4.25488,1.3443,1.02083,0.000986945,0.000986945,0.000986945
